time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/17:59:40.938773,44,0,0,,0.29772378047664017,0.3902421657590446,0.24492757282834052,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.948853,45,0,0,,0.29772426493717025,0.3902418311169147,0.24374821951782139,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.958530,46,0,0,,0.2977243301102175,0.39024292854170645,0.24726426187038408,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.968533,47,0,0,,0.297725243283927,0.3902435165293588,0.24702514281253812,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.978633,48,0,0,,0.297725247936217,0.39024386268788414,0.24714239757473158,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.988479,49,0,0,,0.29772270408462076,0.39024259029735586,0.2672698513943684,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.998392,50,0,0,,0.2977229979649392,0.3902427811739017,0.26124939798205915,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.008491,51,0,0,,0.29772478348347936,0.3902411138663642,0.25981310519410494,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.018739,52,0,0,,0.2977250777951712,0.3902429493316026,0.26592402698962875,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.028666,53,0,0,,0.29772313247208226,0.39024198535823335,0.2572874342292148,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.038759,54,0,0,,0.29772494730114607,0.3902425117996442,0.24954984821763976,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.048540,55,0,0,,0.2977235428818196,0.39024346697176343,0.26204712981741707,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.058693,56,0,0,,0.2977239350590416,0.3902432954280816,0.24201362892572495,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.068351,57,0,0,,0.2977229818232059,0.3902426656361168,0.25233067911945184,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.078368,58,0,0,,0.29772448791710715,0.3902431176554844,0.2383361511745659,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.088407,59,0,0,,0.29772442818312905,0.3902422630926871,0.25362833001196,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.098650,60,0,0,,0.29772428930195466,0.3902416034729899,0.253263099689679,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.108958,61,0,0,,0.2977227540287346,0.3902422232004556,0.27061968817660637,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.118561,62,0,0,,0.297723898548784,0.39024316570939155,0.27593783638303654,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.128428,63,0,0,,0.29772395858888956,0.39024248468344147,0.2728231764103859,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.138627,64,0,0,,0.2977235769724267,0.3902419418517515,0.24901280446311444,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.148568,65,0,0,,0.29772464762796247,0.39024291207996237,0.2826091876386515,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.158444,66,0,0,,0.2977239079517491,0.39024200602837755,0.2691526172884079,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.168492,67,0,0,,0.2977241077163264,0.39024212257026164,0.25406220319321493,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.178350,68,0,0,,0.2977227071430161,0.39024246384114347,0.24840427852438562,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.188461,69,0,0,,0.2977232423254627,0.3902415962960003,0.2599575902157124,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.199300,70,0,0,,0.2977238889774678,0.390242316856961,0.24143363373773977,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:41.208506,71,0,0,,0.29772347094688284,0.3902425176366123,0.2479483336053222,0.0,800.0,800.0,0.0,0.0
